iter	Passed	Remaining
0	0	36
1	0	33
2	0	31
3	1	28
4	1	27
5	1	27
6	2	27
7	2	27
8	2	26
9	2	26
10	3	25
11	3	25
12	3	24
13	4	25
14	4	24
15	4	24
16	4	24
17	5	24
18	5	24
19	5	23
20	6	23
21	6	23
22	6	22
23	7	22
24	7	22
25	7	21
26	8	21
27	9	23
28	9	22
29	9	22
30	9	21
31	10	21
32	10	21
33	10	20
34	11	20
35	11	20
36	11	19
37	11	19
38	12	19
39	12	18
40	12	18
41	12	17
42	13	17
43	13	17
44	13	16
45	13	16
46	14	16
47	14	15
48	14	15
49	15	15
50	15	14
51	15	14
52	16	14
53	16	14
54	16	13
55	16	13
56	17	12
57	17	12
58	17	12
59	18	12
60	18	11
61	18	11
62	19	11
63	19	10
64	19	10
65	19	10
66	20	9
67	20	9
68	20	9
69	21	9
70	21	8
71	21	8
72	21	8
73	22	7
74	22	7
75	22	7
76	23	6
77	23	6
78	23	6
79	24	6
80	24	5
81	24	5
82	24	5
83	25	4
84	25	4
85	25	4
86	26	3
87	26	3
88	26	3
89	27	3
90	27	2
91	27	2
92	28	2
93	28	1
94	28	1
95	28	1
96	29	0
97	29	0
98	29	0
99	29	0
