iter	Passed	Remaining
0	62	62069
1	62	31179
2	62	20895
3	63	15759
4	63	12677
5	64	10609
6	64	9144
7	64	8038
8	65	7173
9	65	6482
10	65	5918
11	66	5446
12	66	5048
13	66	4710
14	67	4409
15	67	4150
16	67	3922
17	68	3729
18	68	3546
19	69	3387
20	69	3243
21	69	3111
22	70	2986
23	70	2870
24	70	2764
25	71	2666
26	71	2576
27	71	2493
28	72	2420
29	72	2351
30	73	2283
31	73	2222
32	73	2166
33	74	2110
34	74	2055
35	74	2003
36	75	1955
37	75	1909
38	75	1866
39	76	1824
40	76	1784
41	76	1745
42	76	1709
43	77	1675
44	77	1642
45	77	1610
46	77	1580
47	78	1551
48	78	1523
49	78	1497
50	79	1472
51	79	1448
52	79	1426
53	80	1404
54	80	1382
55	80	1360
56	81	1341
57	81	1321
58	81	1301
59	81	1282
60	82	1265
61	82	1248
62	82	1231
63	83	1215
64	83	1199
65	83	1184
66	83	1169
67	84	1154
68	84	1140
69	84	1126
70	85	1114
71	85	1103
72	85	1091
73	86	1079
74	86	1068
75	86	1056
76	87	1046
77	87	1035
78	87	1024
79	88	1013
80	88	1004
81	88	994
82	88	982
83	89	973
84	89	963
85	89	955
86	90	947
87	90	938
88	90	930
89	91	922
90	91	915
91	91	907
92	92	900
93	92	893
94	93	887
95	93	880
96	93	875
97	94	868
98	94	861
99	94	854
100	95	848
101	95	843
102	96	837
103	96	830
104	96	824
105	97	819
106	97	813
107	97	807
108	98	801
109	98	796
110	98	790
111	99	786
112	99	780
113	99	776
114	100	771
115	100	766
116	100	760
117	101	755
118	101	752
119	101	747
120	102	742
121	102	737
122	102	732
123	103	728
124	103	724
125	103	721
126	104	716
127	104	711
128	104	707
129	105	703
130	105	699
131	105	695
132	106	691
133	106	688
134	106	684
135	107	680
136	107	677
137	107	674
138	108	671
139	108	667
140	109	664
141	109	659
142	109	656
143	109	652
144	110	649
145	110	646
146	110	643
147	111	640
148	111	636
149	111	633
150	112	629
151	112	626
152	112	623
153	113	620
154	113	617
155	113	614
156	113	612
157	114	609
158	114	606
159	115	603
160	115	600
161	115	597
162	115	594
163	115	591
164	116	588
165	116	585
166	116	582
167	117	580
168	117	577
169	117	574
170	118	572
171	118	569
172	118	567
173	118	564
174	119	561
175	119	559
176	119	557
177	120	555
178	120	552
179	120	550
180	121	549
181	121	547
182	122	545
183	122	542
184	122	540
185	122	538
186	123	535
187	123	533
188	123	531
189	124	528
190	124	526
191	124	524
192	124	521
193	125	519
194	125	517
195	125	515
196	126	513
197	126	512
198	126	510
199	127	508
200	127	506
201	127	504
202	127	502
203	128	500
204	128	498
205	128	496
206	129	494
207	129	493
208	129	491
209	130	489
210	130	487
211	130	485
212	131	484
213	131	482
214	131	480
215	131	478
216	132	476
217	132	474
218	132	473
219	132	471
220	133	469
221	133	467
222	133	466
223	134	464
224	134	462
225	134	461
226	135	460
227	135	458
228	135	457
229	136	455
230	136	454
231	136	453
232	137	451
233	137	450
234	137	448
235	138	447
236	138	445
237	138	443
238	138	442
239	139	440
240	139	439
241	139	437
242	140	436
243	140	434
244	140	433
245	141	432
246	141	430
247	141	429
248	141	427
249	142	426
250	142	424
251	142	423
252	142	422
253	143	420
254	143	419
255	143	417
256	144	416
257	144	415
258	144	413
259	144	412
260	145	411
261	145	409
262	145	408
263	146	407
264	146	406
265	146	404
266	146	403
267	147	402
268	147	401
269	147	400
270	148	398
271	148	397
272	148	396
273	149	395
274	149	393
275	149	392
276	150	391
277	150	390
278	150	389
279	151	388
280	151	387
281	151	386
282	152	385
283	152	384
284	152	382
285	152	381
286	153	380
287	153	379
288	153	378
289	154	377
290	154	375
291	154	374
292	154	373
293	155	372
294	155	371
295	155	370
296	155	369
297	156	368
298	156	366
299	156	365
300	157	364
301	157	363
302	157	362
303	157	361
304	158	360
305	158	359
306	158	358
307	159	357
308	159	356
309	159	355
310	159	354
311	160	353
312	160	352
313	160	351
314	161	350
315	161	349
316	161	348
317	162	347
318	162	346
319	162	345
320	163	344
321	163	343
322	163	342
323	163	341
324	164	340
325	164	339
326	164	339
327	165	338
328	165	337
329	165	336
330	166	336
331	166	335
332	166	334
333	167	333
334	167	332
335	167	331
336	168	330
337	168	329
338	168	329
339	169	328
340	169	327
341	169	326
342	170	325
343	170	324
344	170	323
345	170	323
346	171	322
347	171	321
348	171	320
349	172	319
350	172	318
351	172	317
352	172	316
353	173	316
354	173	315
355	174	314
356	174	313
357	174	313
358	174	312
359	175	311
360	175	310
361	175	309
362	175	308
363	176	307
364	176	307
365	176	306
366	177	305
367	177	304
368	177	303
369	177	303
370	178	302
371	178	301
372	178	300
373	179	300
374	179	299
375	180	298
376	180	298
377	181	298
378	181	297
379	182	297
380	182	296
381	182	295
382	183	294
383	183	294
384	183	293
385	183	292
386	184	291
387	184	291
388	184	290
389	185	289
390	185	288
391	185	288
392	186	287
393	186	286
394	186	285
395	186	285
396	187	284
397	187	283
398	187	282
399	188	282
400	188	281
401	188	280
402	188	279
403	189	278
404	189	278
405	189	277
406	189	276
407	190	276
408	190	275
409	191	274
410	191	274
411	191	273
412	191	272
413	192	272
414	192	271
415	192	270
416	193	270
417	193	269
418	193	268
419	194	267
420	194	267
421	194	266
422	194	265
423	195	265
424	195	264
425	195	264
426	196	263
427	196	262
428	196	261
429	197	261
430	197	260
431	197	259
432	197	259
433	198	258
434	198	257
435	198	257
436	199	256
437	199	255
438	199	255
439	199	254
440	200	253
441	200	253
442	200	252
443	201	252
444	201	251
445	201	250
446	202	250
447	202	249
448	202	248
449	203	248
450	203	247
451	203	246
452	203	246
453	204	245
454	204	244
455	204	244
456	204	243
457	205	242
458	205	242
459	205	241
460	206	241
461	206	240
462	206	239
463	207	239
464	207	238
465	207	237
466	207	237
467	208	236
468	208	235
469	208	235
470	208	234
471	209	234
472	209	233
473	209	232
474	210	232
475	210	231
476	210	230
477	210	230
478	211	229
479	211	229
480	211	228
481	212	228
482	212	227
483	212	226
484	212	226
485	213	225
486	213	224
487	213	224
488	214	223
489	214	223
490	214	222
491	214	221
492	215	221
493	215	220
494	215	220
495	215	219
496	216	218
497	216	218
498	216	217
499	217	217
500	217	216
501	217	215
502	217	215
503	218	214
504	218	214
505	218	213
506	218	212
507	219	212
508	219	211
509	219	211
510	220	210
511	220	210
512	220	209
513	221	209
514	221	208
515	221	207
516	222	207
517	222	206
518	222	206
519	222	205
520	223	205
521	223	204
522	223	204
523	223	203
524	224	202
525	224	202
526	224	201
527	225	201
528	225	200
529	225	200
530	225	199
531	226	199
532	226	198
533	226	198
534	227	197
535	227	196
536	228	196
537	228	196
538	228	195
539	228	195
540	229	194
541	229	193
542	229	193
543	230	192
544	230	192
545	230	191
546	231	191
547	231	190
548	231	190
549	231	189
550	232	189
551	232	188
552	232	188
553	233	187
554	233	187
555	233	186
556	233	185
557	234	185
558	234	185
559	234	184
560	235	183
561	235	183
562	235	182
563	235	182
564	236	181
565	236	181
566	236	180
567	237	180
568	237	179
569	237	179
570	237	178
571	238	178
572	238	177
573	238	177
574	239	176
575	239	176
576	239	175
577	239	175
578	240	174
579	240	174
580	240	173
581	240	173
582	241	172
583	241	172
584	242	171
585	242	171
586	242	170
587	242	170
588	243	169
589	243	169
590	243	168
591	244	168
592	244	167
593	244	167
594	245	166
595	245	166
596	245	165
597	245	165
598	246	164
599	246	164
600	246	163
601	247	163
602	247	162
603	247	162
604	248	161
605	248	161
606	248	160
607	248	160
608	249	159
609	249	159
610	249	158
611	249	158
612	250	157
613	250	157
614	250	156
615	251	156
616	251	156
617	251	155
618	251	155
619	252	154
620	252	154
621	252	153
622	253	153
623	253	152
624	253	152
625	254	151
626	254	151
627	254	150
628	254	150
629	255	149
630	255	149
631	255	148
632	256	148
633	256	147
634	256	147
635	256	147
636	257	146
637	257	146
638	257	145
639	258	145
640	258	144
641	259	144
642	259	144
643	259	143
644	259	143
645	260	142
646	260	142
647	260	141
648	261	141
649	261	140
650	261	140
651	261	139
652	262	139
653	262	138
654	262	138
655	262	137
656	263	137
657	263	136
658	263	136
659	263	135
660	264	135
661	264	135
662	264	134
663	265	134
664	265	133
665	265	133
666	265	132
667	266	132
668	266	131
669	266	131
670	267	130
671	267	130
672	267	130
673	267	129
674	268	129
675	268	128
676	268	128
677	268	127
678	269	127
679	269	126
680	269	126
681	270	125
682	270	125
683	270	125
684	271	124
685	271	124
686	271	123
687	272	123
688	272	122
689	272	122
690	273	122
691	273	121
692	273	121
693	274	120
694	274	120
695	274	119
696	274	119
697	275	119
698	275	118
699	275	118
700	276	117
701	276	117
702	276	116
703	276	116
704	277	115
705	277	115
706	277	115
707	277	114
708	278	114
709	278	113
710	278	113
711	279	112
712	279	112
713	279	111
714	279	111
715	280	111
716	280	110
717	280	110
718	280	109
719	281	109
720	281	108
721	281	108
722	281	108
723	282	107
724	282	107
725	282	106
726	283	106
727	283	105
728	283	105
729	283	104
730	284	104
731	284	104
732	284	103
733	284	103
734	285	102
735	285	102
736	285	102
737	286	101
738	286	101
739	286	100
740	287	100
741	287	99
742	287	99
743	288	99
744	288	98
745	288	98
746	289	97
747	289	97
748	289	97
749	289	96
750	290	96
751	290	95
752	290	95
753	291	94
754	291	94
755	291	94
756	291	93
757	292	93
758	292	92
759	292	92
760	292	92
761	293	91
762	293	91
763	293	90
764	293	90
765	294	89
766	294	89
767	294	89
768	295	88
769	295	88
770	295	87
771	295	87
772	295	86
773	296	86
774	296	86
775	296	85
776	297	85
777	297	84
778	297	84
779	297	84
780	298	83
781	298	83
782	298	82
783	298	82
784	299	81
785	299	81
786	299	81
787	300	80
788	300	80
789	300	79
790	301	79
791	301	79
792	301	78
793	301	78
794	302	77
795	302	77
796	302	77
797	303	76
798	303	76
799	303	75
800	303	75
801	304	75
802	304	74
803	305	74
804	305	73
805	305	73
806	305	73
807	306	72
808	306	72
809	306	71
810	307	71
811	307	71
812	307	70
813	307	70
814	308	69
815	308	69
816	308	69
817	309	68
818	309	68
819	309	67
820	309	67
821	310	67
822	310	66
823	310	66
824	310	65
825	311	65
826	311	65
827	311	64
828	311	64
829	312	63
830	312	63
831	312	63
832	313	62
833	313	62
834	313	62
835	314	61
836	314	61
837	314	60
838	315	60
839	315	60
840	315	59
841	316	59
842	316	58
843	316	58
844	316	58
845	317	57
846	317	57
847	317	56
848	318	56
849	318	56
850	318	55
851	319	55
852	319	55
853	319	54
854	320	54
855	320	53
856	320	53
857	321	53
858	321	52
859	321	52
860	322	51
861	322	51
862	322	51
863	322	50
864	323	50
865	323	50
866	323	49
867	324	49
868	324	48
869	324	48
870	325	48
871	325	47
872	325	47
873	326	46
874	326	46
875	326	46
876	326	45
877	327	45
878	327	45
879	327	44
880	327	44
881	328	43
882	328	43
883	328	43
884	329	42
885	329	42
886	329	42
887	330	41
888	330	41
889	331	40
890	331	40
891	332	40
892	332	39
893	332	39
894	332	39
895	333	38
896	333	38
897	334	37
898	334	37
899	334	37
900	334	36
901	335	36
902	335	36
903	335	35
904	336	35
905	336	34
906	336	34
907	337	34
908	337	33
909	337	33
910	337	33
911	338	32
912	338	32
913	338	31
914	339	31
915	339	31
916	339	30
917	340	30
918	340	30
919	340	29
920	340	29
921	341	28
922	341	28
923	341	28
924	342	27
925	342	27
926	342	26
927	342	26
928	343	26
929	343	25
930	343	25
931	344	25
932	344	24
933	344	24
934	345	23
935	345	23
936	345	23
937	346	22
938	346	22
939	346	22
940	346	21
941	347	21
942	347	21
943	347	20
944	348	20
945	348	19
946	348	19
947	349	19
948	349	18
949	349	18
950	350	18
951	350	17
952	350	17
953	351	16
954	351	16
955	351	16
956	352	15
957	352	15
958	352	15
959	353	14
960	353	14
961	353	13
962	354	13
963	354	13
964	354	12
965	354	12
966	355	12
967	355	11
968	355	11
969	355	11
970	356	10
971	356	10
972	356	9
973	356	9
974	357	9
975	357	8
976	357	8
977	357	8
978	358	7
979	358	7
980	358	6
981	359	6
982	359	6
983	359	5
984	359	5
985	360	5
986	360	4
987	360	4
988	361	4
989	361	3
990	361	3
991	361	2
992	362	2
993	362	2
994	362	1
995	362	1
996	363	1
997	363	0
998	363	0
999	364	0
